person_id,aircraft_id,flight_no,pickup_stop_order,delivery_stop_order
P0748,A03-T2-H03,7,4,5
P0749,A01-T1-H02,4,1,3
P0750,A02-T2-H02,2,0,1
P0751,A02-T3-H02,3,0,1
P0752,A01-T1-H03,2,4,5
P0753,A01-T3-H02,9,1,2
P0754,A03-T3-H03,5,1,2
P0755,A01-T2-H03,10,0,2
P0756,A02-T2-H04,2,2,4
P0757,A01-T1-H03,4,0,1
P0758,A03-T2-H03,4,3,4
P0759,A01-T3-H02,4,1,2
P0760,A01-T3-H01,1,1,2
P0761,A02-T3-H01,5,0,2
P0762,,,,
P0763,A03-T2-H02,1,2,4
P0764,A03-T2-H03,4,1,2
P0765,,,,
P0766,A02-T2-H02,3,1,4
P0767,A02-T3-H02,3,0,1
P0768,A03-T2-H03,3,0,1
P0769,A01-T2-H02,1,1,2
P0770,A03-T3-H01,4,2,3
P0771,A02-T1-H02,3,2,4
P0772,A03-T2-H03,7,2,4
P0773,A03-T2-H02,8,0,2
P0774,A01-T3-H02,4,1,2
P0775,A01-T2-H01,6,2,4
P0776,A01-T2-H02,4,0,1
P0777,A03-T2-H01,10,1,2
P0778,A03-T2-H03,4,0,1
P0779,A01-T2-H02,9,2,4
P0780,A01-T2-H01,10,2,3
P0781,A03-T2-H02,7,0,2
P0782,A02-T3-H02,7,0,1
P0783,A03-T2-H01,1,2,3
P0784,A03-T2-H01,6,1,2
P0785,A01-T2-H01,11,0,2
P0786,A01-T3-H02,2,0,2
P0787,A03-T3-H03,4,2,4
P0788,A03-T2-H01,7,0,2
P0789,A01-T2-H02,7,3,4
P0790,A01-T2-H01,3,1,2
P0791,A02-T2-H03,8,2,3
P0792,A02-T2-H01,1,0,1
P0793,A03-T2-H02,4,0,2
P0794,A03-T2-H01,1,0,2
P0795,A02-T2-H01,5,1,2
P0796,A01-T1-H03,5,0,2
P0797,,,,
P0798,A01-T2-H02,7,2,3
P0799,A02-T2-H04,6,0,2
P0800,A01-T2-H01,5,0,1
P0801,A03-T2-H03,5,0,1
P0802,A03-T3-H01,4,2,3
P0803,A02-T2-H04,6,2,4
P0804,A01-T1-H02,6,2,4
P0805,A01-T2-H02,4,0,1
P0806,A01-T2-H02,3,1,2
P0807,,,,
P0808,A02-T3-H01,3,0,2
P0809,A02-T3-H02,3,0,1
P0810,A02-T1-H02,2,2,3
P0811,A02-T2-H02,5,1,2
P0812,A01-T3-H01,1,0,2
P0813,A03-T3-H03,4,2,4
P0814,A02-T2-H02,3,1,4
P0815,A02-T1-H02,2,1,3
P0816,A03-T2-H03,4,1,2
P0817,A01-T2-H02,9,3,4
P0818,A01-T3-H01,3,0,1
P0819,A01-T2-H02,10,1,2
P0820,A03-T2-H02,2,0,1
P0821,A01-T3-H01,3,0,1
P0822,A03-T2-H03,6,0,2
P0823,,,,
P0824,A03-T2-H01,7,3,4
P0825,A03-T2-H03,6,3,4
P0826,A03-T2-H03,5,0,1
P0827,A03-T3-H01,2,1,2
P0828,A02-T2-H01,4,0,2
P0829,A01-T2-H02,4,0,1
P0830,A03-T3-H02,4,1,3
P0831,,,,
P0832,A01-T1-H01,1,3,4
P0833,A03-T3-H02,5,0,1
P0834,A02-T2-H01,5,0,1
P0835,,,,
P0836,A03-T2-H01,7,2,3
P0837,A03-T3-H02,4,1,3
P0838,A03-T2-H03,3,0,1
P0839,A02-T3-H01,1,1,2
P0840,A02-T2-H02,6,2,3
P0841,A01-T2-H03,5,2,3
P0842,A02-T2-H02,5,1,2
P0843,A03-T2-H01,6,0,1
P0844,,,,
P0845,A02-T2-H01,3,0,1
P0846,A02-T3-H02,5,1,3
P0847,A01-T1-H03,3,1,2
P0848,A03-T3-H01,4,0,1
P0849,A01-T2-H01,10,0,2
P0850,A02-T2-H02,2,1,2
P0851,A01-T3-H02,2,0,2
P0852,A02-T3-H01,1,1,2
P0853,A03-T2-H02,2,2,4
P0854,,,,
P0855,A03-T2-H03,1,0,1
P0856,A03-T3-H02,3,0,2
P0857,A01-T1-H03,6,0,1
P0858,A03-T2-H03,6,1,4
P0859,A03-T2-H02,7,2,3
P0860,,,,
P0861,A03-T2-H03,2,2,3
P0862,A02-T3-H02,4,0,2
P0863,A01-T2-H02,7,0,1
P0864,A02-T3-H02,2,2,3
P0865,A03-T3-H01,5,0,1
P0866,A01-T3-H01,9,1,3
P0867,A01-T3-H01,1,1,2
P0868,A03-T2-H01,5,0,1
P0869,A02-T2-H02,3,0,1
P0870,A01-T2-H01,11,0,2
P0871,A01-T3-H01,1,1,2
P0872,A03-T3-H03,5,0,1
P0873,A01-T2-H02,8,1,2
P0874,A02-T2-H02,8,1,3
P0875,A02-T2-H03,8,1,2
P0876,A03-T2-H01,9,1,2
P0877,A02-T2-H01,4,2,4
P0878,A01-T2-H03,3,1,3
P0879,A01-T2-H03,1,0,1
P0880,A03-T3-H03,1,0,2
P0881,A02-T2-H04,4,2,3
P0882,A01-T2-H01,7,1,3
P0883,A02-T3-H01,3,2,3
P0884,A03-T2-H01,1,2,4
P0885,A01-T3-H01,1,1,2
P0886,A02-T3-H02,1,1,2
P0887,A01-T2-H01,2,1,3
P0888,A02-T3-H02,4,0,1
P0889,A03-T1-H01,1,0,2
P0890,A01-T3-H02,9,1,2
P0891,A01-T3-H01,8,2,3
P0892,A03-T2-H01,7,3,4
P0893,A01-T3-H01,1,0,2
P0894,A02-T2-H03,6,0,3
P0895,A01-T3-H02,9,1,2
P0896,A02-T3-H01,3,0,2
P0897,A02-T2-H03,6,0,1
P0898,A02-T2-H01,5,1,2
P0899,A01-T1-H03,4,4,5
P0900,A01-T2-H02,7,3,4
P0901,A01-T2-H03,8,2,3
P0902,A01-T3-H01,7,1,2
P0903,A01-T3-H01,2,1,2
P0904,A03-T2-H01,9,0,1
P0905,A01-T2-H02,4,1,3
P0906,A01-T3-H01,9,2,3
P0907,A01-T3-H02,7,1,2
P0908,A01-T3-H01,8,0,1
P0909,A02-T3-H02,7,0,1
P0910,A02-T3-H01,3,2,3
P0911,,,,
P0912,A01-T2-H03,9,0,2
P0913,A03-T2-H02,7,2,3
P0914,A03-T2-H03,2,2,5
P0915,A03-T3-H03,1,2,4
P0916,A03-T3-H03,2,0,1
P0917,A02-T3-H02,1,2,3
P0918,A01-T2-H01,1,0,1
P0919,A01-T3-H02,3,1,2
P0920,A03-T2-H02,1,1,2
P0921,A02-T3-H02,4,0,1
P0922,A02-T2-H03,7,2,3
P0923,,,,
P0924,A01-T3-H01,8,2,3
P0925,A01-T2-H01,6,0,2
P0926,,,,
P0927,A01-T3-H02,9,1,2
P0928,,,,
P0929,A02-T2-H01,5,3,4
P0930,A01-T2-H02,1,1,2
P0931,A02-T2-H02,10,2,3
P0932,A02-T2-H02,6,3,4
P0933,A02-T2-H02,3,0,1
P0934,A03-T2-H03,2,2,3
P0935,A01-T3-H02,6,2,3
P0936,A01-T3-H02,6,2,3
P0937,A03-T1-H01,1,2,3
P0938,A02-T2-H03,2,3,4
P0939,A01-T2-H03,1,1,2
P0940,A03-T2-H01,1,2,3
P0941,,,,
P0942,A02-T2-H02,5,1,2
P0943,A02-T2-H04,3,2,3
P0944,A03-T2-H03,2,2,5
P0945,A01-T3-H02,7,1,2
P0946,A02-T3-H02,5,0,1
P0947,A01-T3-H02,7,1,2
P0948,A03-T2-H01,2,0,3
P0949,A01-T3-H01,3,1,2
P0950,A01-T2-H02,11,0,1
P0951,A03-T3-H01,1,3,4
P0952,A02-T2-H02,3,0,1
P0953,A01-T2-H02,8,0,1
P0954,A01-T1-H03,1,2,3
P0955,A02-T3-H01,5,0,2
P0956,A03-T2-H01,9,1,3
P0957,A02-T2-H02,1,0,1
P0958,A01-T1-H03,2,4,5
P0959,A01-T2-H01,10,2,3
P0960,A01-T1-H03,6,1,4
P0961,A03-T3-H01,2,1,2
P0962,A02-T1-H02,2,0,1
P0963,A03-T3-H02,2,1,3
P0964,A02-T2-H01,4,3,4
P0965,A03-T2-H02,1,0,1
P0966,A01-T2-H02,7,2,3
P0967,A03-T2-H01,9,1,2
P0968,A03-T2-H03,4,3,4
P0969,A01-T1-H02,3,0,1
P0970,A02-T2-H02,6,2,3
P0971,A02-T2-H04,4,2,3
P0972,A01-T2-H03,2,1,3
P0973,A03-T2-H02,3,3,4
P0974,A02-T2-H03,3,1,2
P0975,A02-T3-H01,7,0,1
P0976,A03-T3-H01,5,1,2
P0977,A01-T1-H01,4,2,3
P0978,A02-T1-H02,4,0,1
P0979,A02-T2-H02,8,2,3
P0980,A03-T3-H03,1,0,1
P0981,A03-T1-H01,1,2,3
P0982,A01-T2-H03,2,1,3
P0983,A03-T2-H02,2,3,4
P0984,A03-T3-H03,4,2,3
P0985,A03-T3-H03,2,0,1
P0986,A02-T3-H01,7,0,1
P0987,A02-T3-H02,6,0,1
P0988,A03-T3-H01,1,1,2
P0989,A02-T3-H02,2,2,3
P0990,A03-T3-H02,2,1,3
P0991,A01-T1-H03,6,1,4
P0992,A02-T2-H02,2,0,1
P0993,A03-T2-H01,4,0,1
P0994,A03-T2-H01,6,0,1
P0995,A02-T1-H02,5,0,1
P0996,A03-T3-H01,5,1,2
P0997,A03-T2-H01,9,0,1
P0998,A01-T1-H02,3,0,1
P0999,A03-T2-H02,1,2,4
P1000,A01-T3-H02,7,0,1
P1001,A02-T2-H03,6,1,4
P1002,A01-T3-H02,4,1,2
P1003,A01-T2-H02,2,2,3
P1004,A03-T2-H01,5,0,1
P1005,A01-T1-H02,7,0,1
P1006,A01-T1-H01,3,0,2
P1007,A02-T1-H02,3,0,1
P1008,,,,
P1009,A03-T3-H01,1,0,1
P1010,A01-T2-H03,3,1,3
P1011,A02-T2-H02,7,0,1
P1012,A03-T3-H02,4,1,3
P1013,A02-T2-H04,7,1,2
P1014,A01-T1-H03,6,1,4
P1015,A02-T2-H02,1,1,2
P1016,A03-T2-H01,1,0,3
P1017,A01-T1-H01,1,3,4
P1018,A02-T3-H02,2,0,1
P1019,A01-T2-H01,7,1,2
P1020,A03-T3-H01,5,1,2
P1021,A03-T3-H02,5,1,2
P1022,A01-T3-H01,6,0,1
P1023,A01-T1-H03,2,3,4
P1024,A01-T1-H01,5,1,3
P1025,A03-T2-H01,1,0,3
P1026,A02-T2-H02,7,3,4
P1027,A01-T2-H03,2,2,3
P1028,A02-T2-H02,6,2,3
P1029,A01-T3-H01,9,1,3
P1030,A01-T3-H02,5,1,2
P1031,A02-T2-H01,2,0,1
P1032,A02-T3-H02,4,1,3
P1033,A01-T3-H02,6,1,2
P1034,A02-T1-H02,1,1,3
P1035,A03-T3-H02,5,0,1
P1036,A01-T1-H03,5,0,2
P1037,A02-T2-H04,7,1,2
P1038,A02-T3-H02,4,1,3
P1039,A01-T2-H02,8,1,2
P1040,A02-T2-H02,6,3,4
P1041,A03-T2-H01,1,2,3
P1042,A03-T3-H01,3,0,1
P1043,A03-T2-H01,1,2,3
P1044,A01-T3-H02,9,2,3
P1045,A03-T2-H02,8,2,3
P1046,A01-T2-H01,2,2,3
P1047,A01-T3-H01,1,2,3
P1048,A02-T3-H02,3,0,1
P1049,A02-T1-H01,1,0,3
P1050,A03-T2-H03,4,0,1
P1051,A01-T2-H03,2,1,3
P1052,A01-T3-H02,2,0,1
P1053,A01-T2-H03,9,2,3
P1054,A01-T1-H03,6,1,4
P1055,A03-T2-H03,9,1,3
P1056,A02-T3-H01,3,0,2
P1057,A01-T1-H01,2,1,3
P1058,A02-T2-H01,2,1,3
P1059,A02-T2-H03,7,2,3
P1060,A01-T1-H02,6,2,4
P1061,A01-T3-H01,9,1,3
P1062,A01-T3-H02,2,1,2
P1063,A03-T2-H01,7,0,2
P1064,A02-T2-H03,8,2,3
P1065,A01-T2-H02,11,2,3
P1066,A01-T3-H02,9,1,2
P1067,A01-T2-H01,7,1,2
P1068,A01-T1-H03,1,0,1
P1069,A02-T2-H03,1,3,4
P1070,A01-T1-H03,2,3,4
P1071,A02-T3-H01,2,0,1
P1072,A01-T2-H03,8,1,2
P1073,A02-T2-H02,3,0,2
P1074,A02-T2-H03,1,3,4
P1075,A01-T3-H01,1,0,2
P1076,A02-T2-H04,4,0,2
P1077,,,,
P1078,A01-T2-H03,1,0,1
P1079,A01-T2-H02,6,0,1
P1080,A01-T2-H01,10,0,1
P1081,A03-T3-H02,3,0,2
P1082,A02-T2-H01,5,0,1
P1083,A01-T2-H01,7,1,2
P1084,A01-T1-H03,6,3,4
P1085,A01-T2-H01,9,0,2
P1086,A01-T1-H01,3,0,1
P1087,A03-T2-H03,9,0,1
P1088,A01-T1-H03,4,4,5
P1089,A01-T1-H02,7,3,4
P1090,A02-T2-H01,3,2,3
P1091,A01-T2-H01,5,1,2
P1092,A02-T2-H01,5,0,2
P1093,A02-T2-H04,2,3,4
P1094,A03-T3-H03,4,2,3
P1095,A01-T2-H01,9,0,1
P1096,A01-T2-H03,3,1,3
P1097,A01-T2-H02,1,1,2
P1098,A01-T1-H01,2,1,3
P1099,A02-T2-H02,1,0,1
P1100,A01-T2-H01,1,0,1
P1101,A02-T3-H02,5,0,1
P1102,,,,
P1103,A03-T2-H01,5,0,2
P1104,A01-T2-H01,6,1,4
P1105,A01-T1-H02,5,3,4
P1106,A03-T2-H03,4,1,2
P1107,A03-T2-H01,3,3,4
P1108,A01-T2-H02,5,0,1
P1109,A02-T2-H02,3,0,1
P1110,A02-T2-H02,3,3,4
P1111,A02-T2-H03,7,2,3
P1112,A02-T2-H04,4,0,2
P1113,A01-T1-H02,2,0,2
P1114,A01-T3-H01,9,0,2
P1115,A03-T3-H02,5,1,2
P1116,A01-T2-H02,3,1,2
P1117,A02-T2-H01,3,2,3
P1118,A01-T3-H01,1,0,2
P1119,A01-T2-H02,10,0,1
P1120,A01-T2-H02,1,0,1
P1121,,,,
P1122,A03-T3-H02,4,0,1
P1123,A01-T3-H01,9,1,3
P1124,A01-T2-H03,10,0,2
P1125,A03-T2-H01,5,2,4
P1126,A03-T3-H01,5,1,2
P1127,A02-T3-H02,6,1,2
P1128,A02-T2-H04,4,2,3
P1129,A01-T3-H02,9,2,3
P1130,A03-T2-H03,4,1,2
P1131,A01-T1-H02,5,0,1
P1132,A01-T2-H01,6,2,4
P1133,A01-T2-H01,8,0,2
P1134,A01-T3-H01,8,2,3
P1135,A03-T2-H02,5,0,1
P1136,A02-T2-H02,6,3,4
P1137,A03-T2-H01,5,0,3
P1138,A02-T2-H01,5,3,4
P1139,A01-T3-H01,4,0,1
P1140,A02-T3-H01,1,1,2
P1141,A02-T2-H02,2,0,1
P1142,A01-T2-H03,8,1,2
P1143,A01-T1-H02,6,2,4
P1144,A02-T1-H02,5,0,1
P1145,A02-T2-H01,1,1,2
P1146,,,,
P1147,A01-T3-H01,4,1,3
P1148,A03-T3-H03,2,0,1
P1149,A03-T2-H03,4,2,4
P1150,A01-T2-H01,7,1,2
P1151,A01-T2-H01,5,0,1
P1152,A02-T1-H02,4,2,4
P1153,A01-T3-H01,4,0,1
P1154,A02-T2-H02,10,2,3
P1155,A01-T3-H01,8,2,3
P1156,A02-T3-H01,3,0,2
P1157,A03-T2-H01,2,0,3
P1158,A01-T1-H03,6,3,4
P1159,A01-T2-H01,3,1,2
P1160,A02-T3-H02,5,0,1
P1161,,,,
P1162,A03-T2-H01,7,3,4
P1163,A01-T2-H01,3,0,1
P1164,A02-T2-H02,1,0,1
P1165,A01-T1-H02,5,4,5
P1166,A02-T1-H01,2,2,3
P1167,A01-T3-H01,9,0,1
P1168,A01-T2-H03,5,2,3
P1169,A02-T2-H02,9,1,4
P1170,A02-T2-H02,6,3,4
P1171,A03-T2-H03,4,0,1
P1172,A01-T1-H02,7,3,4
P1173,A02-T2-H02,3,0,2
P1174,A03-T2-H03,2,0,2
P1175,A01-T1-H01,4,2,3
P1176,A01-T3-H01,3,1,2
P1177,A01-T1-H02,4,3,4
P1178,A01-T3-H02,6,2,3
P1179,A01-T1-H02,3,0,2
P1180,A01-T3-H01,5,1,2
P1181,A01-T1-H03,3,1,2
P1182,A01-T2-H02,11,2,3
P1183,A02-T2-H01,5,3,4
P1184,A02-T3-H01,4,0,1
P1185,A01-T1-H03,3,1,2
P1186,A02-T2-H03,8,2,3
P1187,A01-T3-H02,7,0,1
P1188,A01-T2-H01,5,0,1
P1189,A01-T2-H01,4,2,3
P1190,A02-T1-H02,4,2,4
P1191,A03-T3-H02,1,2,3
P1192,A03-T2-H01,4,3,4
P1193,A02-T2-H03,2,1,2
P1194,A01-T1-H03,4,0,1
P1195,A02-T3-H01,7,0,1
P1196,A01-T1-H02,6,0,3
P1197,,,,
P1198,A02-T3-H01,5,0,2
P1199,A02-T2-H01,5,0,1
P1200,A01-T3-H02,8,0,1
P1201,A03-T2-H02,8,0,2
P1202,A01-T1-H02,2,2,3
P1203,A03-T3-H03,3,0,1
P1204,,,,
P1205,A01-T3-H01,4,1,3
P1206,A01-T1-H01,6,0,1
P1207,A01-T1-H01,1,3,4
P1208,A01-T2-H01,1,0,1
P1209,A01-T3-H02,8,1,2
P1210,,,,
P1211,A02-T2-H02,5,1,2
P1212,A03-T2-H01,5,2,4
P1213,A01-T1-H03,4,0,1
P1214,A01-T2-H01,1,1,3
P1215,A01-T2-H03,6,1,3
P1216,A01-T3-H02,2,0,1
P1217,A03-T2-H02,5,0,2
P1218,A02-T2-H01,3,2,3
P1219,A03-T3-H02,1,2,3
P1220,A02-T3-H01,6,1,2
P1221,A03-T3-H01,3,0,1
P1222,A01-T3-H01,7,1,2
P1223,A02-T2-H01,6,2,4
P1224,A03-T2-H03,2,2,3
P1225,A01-T2-H01,6,3,4
P1226,A02-T1-H02,2,0,1
P1227,A01-T1-H03,1,2,3
P1228,A01-T1-H01,3,3,4
P1229,A01-T2-H03,11,0,1
P1230,A03-T3-H02,5,1,2
P1231,A03-T2-H01,7,0,2
P1232,A02-T2-H01,7,1,3
P1233,A02-T3-H02,3,0,1
P1234,A03-T2-H01,4,3,4
P1235,A01-T2-H01,3,0,1
P1236,A03-T2-H02,3,0,1
P1237,A03-T3-H03,2,1,3
P1238,A03-T3-H02,5,0,1
P1239,A03-T2-H01,1,2,3
P1240,A02-T2-H02,10,2,3
P1241,A02-T1-H01,1,3,5
P1242,A01-T1-H03,5,2,5
P1243,A01-T3-H02,2,0,2
P1244,A01-T1-H03,1,2,3
P1245,A01-T1-H02,2,2,3
P1246,A03-T2-H03,5,3,4
P1247,A03-T3-H02,4,0,1
P1248,A02-T2-H02,7,3,4
P1249,A02-T2-H01,1,2,4
P1250,A01-T2-H02,3,3,4
P1251,A03-T3-H03,1,1,4
P1252,A01-T2-H02,6,1,2
P1253,A02-T2-H04,4,2,3
P1254,A02-T2-H01,6,0,2
P1255,A03-T2-H02,9,2,3
P1256,A02-T1-H01,1,0,3
P1257,A01-T1-H01,4,2,3
P1258,A03-T2-H02,6,2,3
P1259,A01-T1-H01,6,1,2
P1260,A02-T3-H01,2,1,3
P1261,A03-T2-H02,5,0,2
P1262,A01-T1-H01,6,1,2
P1263,A01-T2-H02,7,2,3
P1264,A01-T3-H01,8,0,1
P1265,A02-T2-H01,6,3,4
P1266,A02-T3-H01,2,0,1
P1267,A03-T3-H02,4,0,1
P1268,A03-T2-H03,2,0,2
P1269,A02-T2-H02,8,0,1
P1270,A01-T3-H01,3,0,1
P1271,A01-T2-H01,9,2,3
P1272,,,,
P1273,A03-T3-H01,4,3,4
P1274,,,,
P1275,A02-T2-H03,8,2,3
P1276,A02-T1-H02,2,0,1
P1277,A03-T3-H03,2,2,3
P1278,A03-T3-H02,1,0,1
P1279,A01-T3-H02,1,2,3
P1280,A01-T1-H03,5,4,5
P1281,A03-T2-H02,5,2,4
P1282,A03-T2-H03,8,2,4
P1283,A02-T2-H02,4,2,3
P1284,A02-T2-H02,1,0,1
P1285,A02-T2-H01,1,0,1
P1286,A02-T1-H02,3,3,4
P1287,A02-T3-H01,2,1,3
P1288,A03-T2-H02,1,1,2
P1289,A01-T1-H01,2,1,3
P1290,A01-T2-H03,8,2,3
P1291,A01-T3-H02,6,2,3
P1292,A03-T2-H02,9,2,3
P1293,A01-T2-H01,4,2,3
P1294,A03-T2-H03,4,0,1
P1295,A01-T2-H01,5,1,2
P1296,A01-T3-H01,4,0,1
P1297,A02-T2-H02,9,3,4
P1298,A01-T2-H02,4,3,4
P1299,A01-T2-H01,1,1,3
P1300,A02-T2-H01,6,0,2
P1301,A01-T3-H01,1,2,3
P1302,A01-T2-H01,8,2,3
P1303,A02-T2-H01,5,0,2
P1304,A03-T2-H02,1,1,4
P1305,A02-T2-H03,7,2,3
P1306,A01-T1-H01,2,1,3
P1307,A02-T1-H02,1,0,1
P1308,A03-T3-H02,4,0,1
P1309,A03-T2-H03,3,2,5
P1310,A01-T3-H01,3,0,1
P1311,A02-T2-H02,2,3,4
P1312,A03-T3-H01,2,1,2
P1313,A03-T2-H02,5,2,3
P1314,A03-T3-H01,3,1,3
P1315,A02-T2-H02,5,0,1
P1316,A03-T2-H03,4,0,1
P1317,A01-T2-H03,3,1,3
P1318,A01-T3-H02,2,1,2
P1319,A01-T3-H02,3,0,1
P1320,A01-T3-H01,2,1,2
P1321,A02-T2-H02,2,3,4
P1322,A03-T3-H03,5,0,1
P1323,A03-T3-H02,1,2,3
P1324,A01-T3-H02,8,0,1
P1325,A01-T2-H02,8,1,2
P1326,A02-T3-H02,1,1,2
P1327,A03-T2-H02,1,0,1
P1328,A03-T3-H01,1,3,4
P1329,A01-T2-H02,10,0,1
P1330,A01-T3-H02,6,2,3
P1331,A02-T2-H01,5,1,2
P1332,A01-T2-H01,2,2,3
P1333,A01-T2-H02,1,0,1
P1334,A01-T2-H02,9,0,2
P1335,A02-T2-H01,2,0,1
P1336,A01-T2-H01,8,2,3
P1337,A01-T3-H02,7,1,3
P1338,A02-T2-H01,4,0,2
P1339,A02-T3-H01,7,0,1
P1340,A02-T1-H02,4,3,4
P1341,A02-T2-H01,1,2,4
P1342,A01-T2-H02,8,0,1
P1343,A01-T2-H02,10,0,1
P1344,A01-T2-H03,4,2,3
P1345,A02-T2-H02,9,0,3
P1346,A03-T2-H01,3,3,4
P1347,A01-T2-H01,7,0,1
P1348,A01-T2-H02,3,1,2
P1349,A03-T3-H01,4,2,3
P1350,A01-T2-H01,1,0,1
P1351,A01-T1-H01,5,1,3
P1352,A02-T2-H04,6,3,4
P1353,A01-T1-H02,3,2,4
P1354,A02-T3-H02,1,1,2
P1355,A03-T2-H02,6,2,4
P1356,A02-T2-H02,10,2,3
P1357,A02-T2-H02,6,0,2
P1358,A02-T2-H02,5,0,1
P1359,,,,
P1360,A01-T3-H01,7,1,2
P1361,A03-T2-H03,6,3,4
P1362,A03-T3-H03,5,1,2
P1363,A03-T2-H02,9,2,3
P1364,A01-T2-H01,10,0,1
P1365,A01-T2-H02,1,0,1
P1366,A02-T1-H01,1,0,3
P1367,A02-T3-H02,6,0,2
P1368,A02-T3-H01,3,0,2
P1369,A01-T1-H02,3,0,2
P1370,A01-T2-H02,2,2,3
P1371,A03-T2-H02,3,1,3
P1372,A01-T2-H02,8,1,2
P1373,A02-T3-H02,2,2,3
P1374,A01-T2-H01,9,2,3
P1375,A03-T2-H03,7,2,4
P1376,A01-T3-H02,8,0,1
P1377,,,,
P1378,A01-T3-H02,3,1,2
P1379,A01-T1-H02,2,2,3
P1380,,,,
P1381,A02-T2-H04,1,0,3
P1382,A03-T2-H01,5,0,2
P1383,A01-T2-H01,3,1,2
P1384,A01-T2-H01,7,2,3
P1385,A03-T2-H01,6,0,1
P1386,A02-T2-H02,6,2,3
P1387,A01-T3-H01,9,1,3
P1388,A01-T1-H02,2,2,3
P1389,A01-T1-H03,3,1,2
P1390,A02-T1-H02,4,3,4
P1391,A01-T2-H02,4,1,3
P1392,A02-T3-H01,3,0,2
P1393,A01-T1-H02,6,3,4
P1394,A01-T2-H03,5,0,1
P1395,A01-T3-H02,1,0,1
P1396,A03-T2-H03,6,2,4
P1397,A01-T2-H03,5,0,1
P1398,A03-T2-H01,3,3,4
P1399,A01-T2-H03,5,0,1
P1400,A02-T2-H01,3,2,3
P1401,A02-T1-H02,5,2,3
P1402,,,,
P1403,,,,
P1404,A02-T2-H02,3,0,2
P1405,A02-T3-H01,1,1,2
P1406,A03-T2-H03,5,1,3
P1407,A03-T2-H02,3,0,1
P1408,A01-T1-H02,1,3,4
P1409,A01-T3-H02,9,1,2
P1410,A01-T3-H01,5,1,2
P1411,A01-T1-H01,2,1,3
P1412,A02-T2-H02,7,3,4
P1413,A02-T1-H02,5,0,1
P1414,,,,
P1415,A03-T2-H02,6,2,3
P1416,A03-T2-H03,5,3,4
P1417,A01-T2-H02,11,1,3
P1418,A01-T3-H02,8,1,2
P1419,A02-T3-H02,1,1,2
P1420,A01-T1-H02,5,2,5
P1421,A03-T3-H01,1,1,4
P1422,A03-T3-H02,4,0,2
P1423,A01-T2-H01,8,0,2
P1424,A01-T1-H02,3,2,4
P1425,A01-T2-H01,9,2,3
P1426,A01-T2-H03,1,1,2
P1427,A03-T3-H01,1,1,4
P1428,A02-T3-H01,6,1,2
P1429,A01-T1-H01,4,0,2
P1430,A03-T3-H02,5,1,2
P1431,A02-T2-H02,9,0,1
P1432,A02-T2-H03,1,3,4
P1433,A03-T2-H02,2,2,3
P1434,A02-T2-H02,9,3,4
P1435,A03-T3-H03,3,0,1
P1436,A03-T2-H01,10,1,2
P1437,A03-T2-H01,6,1,2
P1438,A02-T2-H02,2,1,2
P1439,A02-T2-H01,2,1,3
P1440,A03-T2-H03,1,2,4
P1441,A03-T2-H03,7,4,5
P1442,A03-T2-H02,1,3,4
P1443,A02-T2-H01,3,0,1
P1444,A01-T3-H02,3,1,2
P1445,A01-T2-H02,8,0,1
P1446,A01-T2-H02,4,3,4
P1447,A02-T1-H02,5,0,1
P1448,A02-T1-H01,2,1,3
P1449,A03-T2-H03,3,2,3
P1450,A03-T3-H01,4,0,1
P1451,A02-T2-H04,4,0,2
P1452,A03-T3-H01,5,0,1
P1453,A01-T2-H02,1,0,1
P1454,A01-T1-H02,7,3,4
P1455,A01-T2-H02,2,2,3
P1456,A02-T3-H02,1,1,2
P1457,A03-T3-H03,5,1,2
P1458,A01-T2-H01,11,0,1
P1459,A03-T3-H01,1,3,4
P1460,A01-T3-H02,6,1,2
P1461,A01-T3-H01,3,0,1
P1462,A02-T2-H01,4,0,2
P1463,A01-T2-H01,5,0,1
P1464,A02-T2-H02,3,0,2
P1465,A01-T3-H01,8,2,3
P1466,A02-T3-H01,3,2,3
P1467,A01-T1-H01,6,0,1
P1468,A03-T3-H03,3,1,3
P1469,A01-T3-H02,5,2,3
P1470,A01-T1-H03,4,0,1
P1471,A03-T3-H03,2,0,1
P1472,A01-T2-H03,11,1,4
P1473,,,,
P1474,A03-T2-H03,1,0,1
P1475,A02-T2-H01,4,0,2
P1476,A02-T2-H02,2,0,1
P1477,A03-T3-H01,1,0,1
P1478,A01-T2-H03,1,1,2
P1479,A03-T2-H01,1,0,2
P1480,A02-T2-H03,8,2,3
P1481,A01-T2-H01,5,0,1
P1482,A02-T2-H01,2,0,1
P1483,A01-T2-H03,10,2,3
P1484,A03-T3-H01,3,0,1
P1485,A03-T3-H02,1,2,3
P1486,A01-T3-H02,4,1,2
P1487,A01-T2-H02,7,2,3
P1488,A03-T2-H01,2,0,1
P1489,,,,
P1490,A01-T1-H02,2,2,3
P1491,A03-T2-H01,5,3,4
P1492,A01-T2-H01,2,2,3
P1493,A01-T2-H02,6,0,1
P1494,A03-T2-H02,1,2,4
P1495,A03-T2-H02,5,2,4
P1496,A03-T2-H03,9,1,3
P1497,A02-T2-H02,3,0,1
P1498,A01-T3-H02,9,1,2
P1499,A01-T1-H02,7,3,4
P1500,A02-T3-H02,5,0,1
P1501,,,,
P1502,A03-T3-H01,1,1,2
