person_id,origin,destination,origin_type,destination_type,direction,origin_is_flexible_land,destination_is_flexible_land,candidate_origin_airports,candidate_destination_airports,fixed_origin_airport,fixed_destination_airport,nearest_airport,nearest_airport_distance_km,airport_rankings,direct_distance_lower_bound_km,direct_lower_bound_origin,direct_lower_bound_destination,technical_min_travel_minutes_lower_bound,technical_min_aircraft_type,technical_min_sea_stops,minimum_fuel_requirement_estimate_kg
P1076,LAND,F023,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A02,267.0,"[""A02"", ""A01"", ""A03""]",267.0,A02,F023,73,T2,1,667.5
P1077,LAND,F029,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,211.0,"[""A01"", ""A02"", ""A03""]",211.0,A01,F029,51,T1,1,527.5
P1078,LAND,F005,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,190.0,"[""A01"", ""A02"", ""A03""]",190.0,A01,F005,46,T1,1,475.0
P1079,A01,F017,AIRPORT,FACILITY,outbound,0,0,"[""A01""]",[],A01,,A01,153.0,"[""A01"", ""A02"", ""A03""]",153.0,A01,F017,37,T1,1,382.5
P1080,LAND,F015,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,191.0,"[""A01"", ""A02"", ""A03""]",191.0,A01,F015,46,T1,1,477.5
P1081,LAND,F051,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A03,279.0,"[""A03"", ""A02"", ""A01""]",279.0,A03,F051,77,T2,1,697.5
P1082,LAND,F046,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A02,227.0,"[""A02"", ""A03"", ""A01""]",227.0,A02,F046,55,T1,1,567.5
P1083,F016,F005,FACILITY,FACILITY,shuttle,0,0,[],[],,,A01,190.0,"[""A01"", ""A02"", ""A03""]",25.0,F016,F005,6,T1,1,62.5
P1084,F029,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A01,211.0,"[""A01"", ""A02"", ""A03""]",211.0,F029,A01,51,T1,0,527.5
P1085,LAND,F009,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,166.0,"[""A01"", ""A02"", ""A03""]",166.0,A01,F009,40,T1,1,415.0
P1086,LAND,F030,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,158.0,"[""A01"", ""A02"", ""A03""]",158.0,A01,F030,38,T1,1,395.0
P1087,A03,F036,AIRPORT,FACILITY,outbound,0,0,"[""A03""]",[],A03,,A02,215.0,"[""A02"", ""A01"", ""A03""]",231.0,A03,F036,56,T1,1,577.5
P1088,F005,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A01,190.0,"[""A01"", ""A02"", ""A03""]",190.0,F005,A01,46,T1,0,475.0
P1089,F015,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A01,191.0,"[""A01"", ""A02"", ""A03""]",191.0,F015,A01,46,T1,0,477.5
P1090,F023,F032,FACILITY,FACILITY,shuttle,0,0,[],[],,,A02,279.0,"[""A02"", ""A01"", ""A03""]",14.0,F023,F032,4,T1,1,35.0
P1091,F022,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A01,194.0,"[""A01"", ""A02"", ""A03""]",194.0,F022,A01,47,T1,0,485.0
P1092,LAND,F047,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A02,241.0,"[""A02"", ""A01"", ""A03""]",241.0,A02,F047,58,T1,1,602.5
P1093,F035,A02,FACILITY,AIRPORT,inbound,0,0,[],"[""A02""]",,A02,A01,258.0,"[""A01"", ""A02"", ""A03""]",261.0,F035,A02,72,T2,0,652.5
P1094,F048,F039,FACILITY,FACILITY,shuttle,0,0,[],[],,,A03,223.0,"[""A03"", ""A02"", ""A01""]",31.0,F048,F039,8,T1,1,77.5
P1095,LAND,F014,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,164.0,"[""A01"", ""A02"", ""A03""]",164.0,A01,F014,40,T1,1,410.0
P1096,F010,F007,FACILITY,FACILITY,shuttle,0,0,[],[],,,A01,233.0,"[""A01"", ""A02"", ""A03""]",37.0,F010,F007,9,T1,1,92.5
P1097,F020,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A01,171.0,"[""A01"", ""A02"", ""A03""]",171.0,F020,A01,42,T1,0,427.5
P1098,F009,F003,FACILITY,FACILITY,shuttle,0,0,[],[],,,A01,192.0,"[""A01"", ""A02"", ""A03""]",48.0,F009,F003,12,T1,1,120.0
P1099,LAND,F019,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,204.0,"[""A01"", ""A02"", ""A03""]",204.0,A01,F019,49,T1,1,510.0
P1100,LAND,F001,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,219.0,"[""A01"", ""A02"", ""A03""]",219.0,A01,F001,53,T1,1,547.5
P1101,LAND,F019,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,204.0,"[""A01"", ""A02"", ""A03""]",204.0,A01,F019,49,T1,1,510.0
P1102,F009,F003,FACILITY,FACILITY,shuttle,0,0,[],[],,,A01,192.0,"[""A01"", ""A02"", ""A03""]",48.0,F009,F003,12,T1,1,120.0
P1103,LAND,F044,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A03,317.0,"[""A03"", ""A02"", ""A01""]",317.0,A03,F044,87,T2,1,792.5
P1104,F011,A01,FACILITY,AIRPORT,inbound,0,0,[],"[""A01""]",,A01,A01,201.0,"[""A01"", ""A02"", ""A03""]",201.0,F011,A01,49,T1,0,502.5
P1105,F024,F027,FACILITY,FACILITY,shuttle,0,0,[],[],,,A01,191.0,"[""A01"", ""A02"", ""A03""]",20.0,F024,F027,5,T1,1,50.0
P1106,F043,F051,FACILITY,FACILITY,shuttle,0,0,[],[],,,A03,279.0,"[""A03"", ""A02"", ""A01""]",35.0,F043,F051,9,T1,1,87.5
P1107,F038,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A03,263.0,"[""A03"", ""A02"", ""A01""]",263.0,F038,A03,72,T2,0,657.5
P1108,LAND,F003,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,192.0,"[""A01"", ""A02"", ""A03""]",192.0,A01,F003,47,T1,1,480.0
P1109,LAND,F049,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A02,239.0,"[""A02"", ""A03"", ""A01""]",239.0,A02,F049,58,T1,1,597.5
P1110,F031,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A02,242.0,"[""A02"", ""A01"", ""A03""]",242.0,F031,A02,59,T1,0,605.0
P1111,F030,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A01,158.0,"[""A01"", ""A02"", ""A03""]",158.0,F030,A01,38,T1,0,395.0
P1112,LAND,F023,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A02,267.0,"[""A02"", ""A01"", ""A03""]",267.0,A02,F023,73,T2,1,667.5
P1113,LAND,F028,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,217.0,"[""A01"", ""A02"", ""A03""]",217.0,A01,F028,53,T1,1,542.5
P1114,LAND,F016,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,181.0,"[""A01"", ""A02"", ""A03""]",181.0,A01,F016,44,T1,1,452.5
P1115,F052,F048,FACILITY,FACILITY,shuttle,0,0,[],[],,,A03,254.0,"[""A03"", ""A02"", ""A01""]",23.0,F052,F048,6,T1,1,57.5
P1116,F003,F008,FACILITY,FACILITY,shuttle,0,0,[],[],,,A01,221.0,"[""A01"", ""A02"", ""A03""]",38.0,F003,F008,10,T1,1,95.0
P1117,F023,F032,FACILITY,FACILITY,shuttle,0,0,[],[],,,A02,279.0,"[""A02"", ""A01"", ""A03""]",14.0,F023,F032,4,T1,1,35.0
P1118,LAND,F007,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,233.0,"[""A01"", ""A02"", ""A03""]",233.0,A01,F007,56,T1,1,582.5
P1119,LAND,F020,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,171.0,"[""A01"", ""A02"", ""A03""]",171.0,A01,F020,42,T1,1,427.5
P1120,LAND,F020,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,171.0,"[""A01"", ""A02"", ""A03""]",171.0,A01,F020,42,T1,1,427.5
P1121,F015,F009,FACILITY,FACILITY,shuttle,0,0,[],[],,,A01,166.0,"[""A01"", ""A02"", ""A03""]",38.0,F015,F009,10,T1,1,95.0
P1122,LAND,F036,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A02,215.0,"[""A02"", ""A01"", ""A03""]",215.0,A02,F036,52,T1,1,537.5
P1123,F001,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A01,219.0,"[""A01"", ""A02"", ""A03""]",219.0,F001,A01,53,T1,0,547.5
P1124,LAND,F035,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,258.0,"[""A01"", ""A02"", ""A03""]",258.0,A01,F035,71,T2,1,645.0
P1125,F044,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A03,317.0,"[""A03"", ""A02"", ""A01""]",317.0,F044,A03,87,T2,0,792.5
P1126,F050,A03,FACILITY,AIRPORT,inbound,0,0,[],"[""A03""]",,A03,A03,403.0,"[""A03"", ""A02"", ""A01""]",403.0,F050,A03,128,T3,0,1007.5
P1127,F029,F021,FACILITY,FACILITY,shuttle,0,0,[],[],,,A01,218.0,"[""A01"", ""A02"", ""A03""]",17.0,F029,F021,5,T1,1,42.5
P1128,F023,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A02,267.0,"[""A02"", ""A01"", ""A03""]",267.0,F023,A02,73,T2,0,667.5
P1129,F007,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A01,233.0,"[""A01"", ""A02"", ""A03""]",233.0,F007,A01,56,T1,0,582.5
P1130,F043,F051,FACILITY,FACILITY,shuttle,0,0,[],[],,,A03,279.0,"[""A03"", ""A02"", ""A01""]",35.0,F043,F051,9,T1,1,87.5
P1131,LAND,F007,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,233.0,"[""A01"", ""A02"", ""A03""]",233.0,A01,F007,56,T1,1,582.5
P1132,F003,A01,FACILITY,AIRPORT,inbound,0,0,[],"[""A01""]",,A01,A01,192.0,"[""A01"", ""A02"", ""A03""]",192.0,F003,A01,47,T1,0,480.0
P1133,LAND,F034,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,246.0,"[""A01"", ""A02"", ""A03""]",246.0,A01,F034,60,T1,1,615.0
P1134,F002,A01,FACILITY,AIRPORT,inbound,0,0,[],"[""A01""]",,A01,A01,217.0,"[""A01"", ""A02"", ""A03""]",217.0,F002,A01,53,T1,0,542.5
P1135,LAND,F038,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A03,263.0,"[""A03"", ""A02"", ""A01""]",263.0,A03,F038,72,T2,1,657.5
P1136,F049,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A02,239.0,"[""A02"", ""A03"", ""A01""]",239.0,F049,A02,58,T1,0,597.5
P1137,A03,F041,AIRPORT,FACILITY,outbound,0,0,"[""A03""]",[],A03,,A03,278.0,"[""A03"", ""A02"", ""A01""]",278.0,A03,F041,76,T2,1,695.0
P1138,F031,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A02,242.0,"[""A02"", ""A01"", ""A03""]",242.0,F031,A02,59,T1,0,605.0
P1139,LAND,F013,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,279.0,"[""A01"", ""A02"", ""A03""]",279.0,A01,F013,77,T2,1,697.5
P1140,F021,F027,FACILITY,FACILITY,shuttle,0,0,[],[],,,A01,191.0,"[""A01"", ""A02"", ""A03""]",37.0,F021,F027,9,T1,1,92.5
P1141,LAND,F022,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,194.0,"[""A01"", ""A02"", ""A03""]",194.0,A01,F022,47,T1,1,485.0
P1142,F014,F017,FACILITY,FACILITY,shuttle,0,0,[],[],,,A01,153.0,"[""A01"", ""A02"", ""A03""]",38.0,F014,F017,10,T1,1,95.0
P1143,F006,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A01,235.0,"[""A01"", ""A02"", ""A03""]",235.0,F006,A01,57,T1,0,587.5
P1144,LAND,F024,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,211.0,"[""A01"", ""A02"", ""A03""]",211.0,A01,F024,51,T1,1,527.5
P1145,F018,F026,FACILITY,FACILITY,shuttle,0,0,[],[],,,A01,204.0,"[""A01"", ""A02"", ""A03""]",14.0,F018,F026,4,T1,1,35.0
P1146,F036,F046,FACILITY,FACILITY,shuttle,0,0,[],[],,,A02,227.0,"[""A02"", ""A03"", ""A01""]",41.0,F036,F046,10,T1,1,102.5
P1147,F013,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A01,279.0,"[""A01"", ""A02"", ""A03""]",279.0,F013,A01,77,T2,0,697.5
P1148,LAND,F050,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A03,403.0,"[""A03"", ""A02"", ""A01""]",403.0,A03,F050,128,T3,1,1007.5
P1149,F051,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A03,279.0,"[""A03"", ""A02"", ""A01""]",279.0,F051,A03,77,T2,0,697.5
P1150,F016,F005,FACILITY,FACILITY,shuttle,0,0,[],[],,,A01,190.0,"[""A01"", ""A02"", ""A03""]",25.0,F016,F005,6,T1,1,62.5
P1151,LAND,F022,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,194.0,"[""A01"", ""A02"", ""A03""]",194.0,A01,F022,47,T1,1,485.0
P1152,F018,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A01,196.0,"[""A01"", ""A02"", ""A03""]",196.0,F018,A01,48,T1,0,490.0
P1153,LAND,F013,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,279.0,"[""A01"", ""A02"", ""A03""]",279.0,A01,F013,77,T2,1,697.5
P1154,F032,F025,FACILITY,FACILITY,shuttle,0,0,[],[],,,A01,202.0,"[""A01"", ""A02"", ""A03""]",79.0,F032,F025,19,T1,1,197.5
P1155,F002,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A01,217.0,"[""A01"", ""A02"", ""A03""]",217.0,F002,A01,53,T1,0,542.5
P1156,LAND,F034,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,246.0,"[""A01"", ""A02"", ""A03""]",246.0,A01,F034,60,T1,1,615.0
P1157,LAND,F045,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A03,260.0,"[""A03"", ""A02"", ""A01""]",260.0,A03,F045,71,T2,1,650.0
P1158,F029,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A01,211.0,"[""A01"", ""A02"", ""A03""]",211.0,F029,A01,51,T1,0,527.5
P1159,F014,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A01,164.0,"[""A01"", ""A02"", ""A03""]",164.0,F014,A01,40,T1,0,410.0
P1160,LAND,F019,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,204.0,"[""A01"", ""A02"", ""A03""]",204.0,A01,F019,49,T1,1,510.0
P1161,F040,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A03,342.0,"[""A03"", ""A02"", ""A01""]",342.0,F040,A03,94,T2,0,855.0
P1162,F049,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A02,239.0,"[""A02"", ""A03"", ""A01""]",239.0,F049,A02,58,T1,0,597.5
P1163,LAND,F014,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,164.0,"[""A01"", ""A02"", ""A03""]",164.0,A01,F014,40,T1,1,410.0
P1164,LAND,F019,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,204.0,"[""A01"", ""A02"", ""A03""]",204.0,A01,F019,49,T1,1,510.0
P1165,F027,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A01,191.0,"[""A01"", ""A02"", ""A03""]",191.0,F027,A01,46,T1,0,477.5
P1166,F020,A02,FACILITY,AIRPORT,inbound,0,0,[],"[""A02""]",,A02,A01,171.0,"[""A01"", ""A02"", ""A03""]",185.0,F020,A02,45,T1,0,462.5
P1167,LAND,F001,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,219.0,"[""A01"", ""A02"", ""A03""]",219.0,A01,F001,53,T1,1,547.5
P1168,F007,F002,FACILITY,FACILITY,shuttle,0,0,[],[],,,A01,217.0,"[""A01"", ""A02"", ""A03""]",30.0,F007,F002,8,T1,1,75.0
P1169,F002,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A01,217.0,"[""A01"", ""A02"", ""A03""]",217.0,F002,A01,53,T1,0,542.5
P1170,F049,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A02,239.0,"[""A02"", ""A03"", ""A01""]",239.0,F049,A02,58,T1,0,597.5
P1171,A03,F043,AIRPORT,FACILITY,outbound,0,0,"[""A03""]",[],A03,,A03,303.0,"[""A03"", ""A02"", ""A01""]",303.0,A03,F043,83,T2,1,757.5
P1172,F015,A01,FACILITY,AIRPORT,inbound,0,0,[],"[""A01""]",,A01,A01,191.0,"[""A01"", ""A02"", ""A03""]",191.0,F015,A01,46,T1,0,477.5
P1173,LAND,F047,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A02,241.0,"[""A02"", ""A01"", ""A03""]",241.0,A02,F047,58,T1,1,602.5
P1174,LAND,F042,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A03,368.0,"[""A03"", ""A02"", ""A01""]",368.0,A03,F042,101,T2,1,920.0
P1175,F012,A01,FACILITY,AIRPORT,inbound,0,0,[],"[""A01""]",,A01,A01,208.0,"[""A01"", ""A02"", ""A03""]",208.0,F012,A01,50,T1,0,520.0
P1176,F008,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A01,221.0,"[""A01"", ""A02"", ""A03""]",221.0,F008,A01,54,T1,0,552.5
P1177,F021,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A01,218.0,"[""A01"", ""A02"", ""A03""]",218.0,F021,A01,53,T1,0,545.0
P1178,F033,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A01,227.0,"[""A01"", ""A02"", ""A03""]",227.0,F033,A01,55,T1,0,567.5
P1179,LAND,F028,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,217.0,"[""A01"", ""A02"", ""A03""]",217.0,A01,F028,53,T1,1,542.5
P1180,F008,F003,FACILITY,FACILITY,shuttle,0,0,[],[],,,A01,192.0,"[""A01"", ""A02"", ""A03""]",38.0,F008,F003,10,T1,1,95.0
P1181,F011,F015,FACILITY,FACILITY,shuttle,0,0,[],[],,,A01,191.0,"[""A01"", ""A02"", ""A03""]",31.0,F011,F015,8,T1,1,77.5
P1182,F017,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A01,153.0,"[""A01"", ""A02"", ""A03""]",153.0,F017,A01,37,T1,0,382.5
P1183,F031,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A02,242.0,"[""A02"", ""A01"", ""A03""]",242.0,F031,A02,59,T1,0,605.0
P1184,LAND,F025,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,202.0,"[""A01"", ""A02"", ""A03""]",202.0,A01,F025,49,T1,1,505.0
P1185,F011,F015,FACILITY,FACILITY,shuttle,0,0,[],[],,,A01,191.0,"[""A01"", ""A02"", ""A03""]",31.0,F011,F015,8,T1,1,77.5
P1186,F021,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A01,218.0,"[""A01"", ""A02"", ""A03""]",218.0,F021,A01,53,T1,0,545.0
P1187,LAND,F012,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,208.0,"[""A01"", ""A02"", ""A03""]",208.0,A01,F012,50,T1,1,520.0
P1188,LAND,F022,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,194.0,"[""A01"", ""A02"", ""A03""]",194.0,A01,F022,47,T1,1,485.0
P1189,F030,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A01,158.0,"[""A01"", ""A02"", ""A03""]",158.0,F030,A01,38,T1,0,395.0
P1190,F018,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A01,196.0,"[""A01"", ""A02"", ""A03""]",196.0,F018,A01,48,T1,0,490.0
P1191,F039,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A03,223.0,"[""A03"", ""A02"", ""A01""]",223.0,F039,A03,54,T1,0,557.5
P1192,F039,A03,FACILITY,AIRPORT,inbound,0,0,[],"[""A03""]",,A03,A03,223.0,"[""A03"", ""A02"", ""A01""]",223.0,F039,A03,54,T1,0,557.5
P1193,F039,F052,FACILITY,FACILITY,shuttle,0,0,[],[],,,A02,259.0,"[""A02"", ""A03"", ""A01""]",44.0,F039,F052,11,T1,1,110.0
P1194,LAND,F018,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,196.0,"[""A01"", ""A02"", ""A03""]",196.0,A01,F018,48,T1,1,490.0
P1195,A02,F021,AIRPORT,FACILITY,outbound,0,0,"[""A02""]",[],A02,,A01,218.0,"[""A01"", ""A02"", ""A03""]",220.0,A02,F021,53,T1,1,550.0
P1196,LAND,F007,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,233.0,"[""A01"", ""A02"", ""A03""]",233.0,A01,F007,56,T1,1,582.5
P1197,F039,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A03,223.0,"[""A03"", ""A02"", ""A01""]",223.0,F039,A03,54,T1,0,557.5
P1198,A02,F033,AIRPORT,FACILITY,outbound,0,0,"[""A02""]",[],A02,,A01,227.0,"[""A01"", ""A02"", ""A03""]",239.0,A02,F033,58,T1,1,597.5
P1199,LAND,F046,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A02,227.0,"[""A02"", ""A03"", ""A01""]",227.0,A02,F046,55,T1,1,567.5
P1200,LAND,F030,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,158.0,"[""A01"", ""A02"", ""A03""]",158.0,A01,F030,38,T1,1,395.0
P1201,LAND,F052,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A02,259.0,"[""A02"", ""A03"", ""A01""]",259.0,A02,F052,71,T2,1,647.5
P1202,F028,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A01,217.0,"[""A01"", ""A02"", ""A03""]",217.0,F028,A01,53,T1,0,542.5
P1203,A03,F042,AIRPORT,FACILITY,outbound,0,0,"[""A03""]",[],A03,,A03,368.0,"[""A03"", ""A02"", ""A01""]",368.0,A03,F042,101,T2,1,920.0
P1204,F045,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A03,260.0,"[""A03"", ""A02"", ""A01""]",260.0,F045,A03,71,T2,0,650.0
P1205,F013,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A01,279.0,"[""A01"", ""A02"", ""A03""]",279.0,F013,A01,77,T2,0,697.5
P1206,LAND,F031,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A02,242.0,"[""A02"", ""A01"", ""A03""]",242.0,A02,F031,59,T1,1,605.0
P1207,F007,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A01,233.0,"[""A01"", ""A02"", ""A03""]",233.0,F007,A01,56,T1,0,582.5
P1208,LAND,F001,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,219.0,"[""A01"", ""A02"", ""A03""]",219.0,A01,F001,53,T1,1,547.5
P1209,F030,F026,FACILITY,FACILITY,shuttle,0,0,[],[],,,A01,204.0,"[""A01"", ""A02"", ""A03""]",59.0,F030,F026,15,T1,1,147.5
P1210,LAND,F012,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,208.0,"[""A01"", ""A02"", ""A03""]",208.0,A01,F012,50,T1,1,520.0
P1211,F020,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A01,171.0,"[""A01"", ""A02"", ""A03""]",171.0,F020,A01,42,T1,0,427.5
P1212,F044,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A03,317.0,"[""A03"", ""A02"", ""A01""]",317.0,F044,A03,87,T2,0,792.5
P1213,LAND,F018,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,196.0,"[""A01"", ""A02"", ""A03""]",196.0,A01,F018,48,T1,1,490.0
P1214,F001,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A01,219.0,"[""A01"", ""A02"", ""A03""]",219.0,F001,A01,53,T1,0,547.5
P1215,F016,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A01,181.0,"[""A01"", ""A02"", ""A03""]",181.0,F016,A01,44,T1,0,452.5
P1216,LAND,F004,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,197.0,"[""A01"", ""A02"", ""A03""]",197.0,A01,F004,48,T1,1,492.5
